,graph,statistic,value
395,farz_0.85,\shortstack[l]{normalized \\ cut},0.43450760352537704
396,farz_0.85,\shortstack[l]{internal \\ edge \\density},0.06388717843106126
397,farz_0.85,significance,2212.6494035239957
398,farz_0.85,\shortstack[l]{avarage \\ internal \\degree},5.298730158730159
399,farz_0.85,\shortstack[l]{modularity \\ density},-0.22480032753842272
400,farz_0.90,$|V|$,200.0
401,farz_0.90,$|E|$,890.0
402,farz_0.90,$\hat{k}$,5.0
403,farz_0.90,$\hat{o}$,20.0
404,farz_0.90,$\hat{c}$,0.4710001355519321
405,farz_0.90,\shortstack[l]{normalized \\ cut},0.32840527485497784
406,farz_0.90,\shortstack[l]{internal \\ edge \\density},0.07407048927973543
407,farz_0.90,significance,2725.444156329346
408,farz_0.90,\shortstack[l]{avarage \\ internal \\degree},7.173703979636183
409,farz_0.90,\shortstack[l]{modularity \\ density},0.29077351311818994
410,farz_0.95,$|V|$,200.0
411,farz_0.95,$|E|$,902.0
412,farz_0.95,$\hat{k}$,5.0
413,farz_0.95,$\hat{o}$,32.0
414,farz_0.95,$\hat{c}$,0.4248466880996454
415,farz_0.95,\shortstack[l]{normalized \\ cut},0.42798977718564224
416,farz_0.95,\shortstack[l]{internal \\ edge \\density},0.031272785806208014
417,farz_0.95,significance,
418,farz_0.95,\shortstack[l]{avarage \\ internal \\degree},5.873686463349385
419,farz_0.95,\shortstack[l]{modularity \\ density},-2.31295877523977
420,PP_0.20_0.10,$|V|$,30.0
421,PP_0.20_0.10,$|E|$,61.0
422,PP_0.20_0.10,$\hat{k}$,6.0
423,PP_0.20_0.10,$\hat{o}$,0.0
424,PP_0.20_0.10,$\hat{c}$,0.17920634920634926
425,PP_0.20_0.10,\shortstack[l]{normalized \\ cut},0.8433301573738206
426,PP_0.20_0.10,\shortstack[l]{internal \\ edge \\density},0.06666666666666667
427,PP_0.20_0.10,significance,23.98633546457233
428,PP_0.20_0.10,\shortstack[l]{avarage \\ internal \\degree},1.0666666666666667
429,PP_0.20_0.10,\shortstack[l]{modularity \\ density},-2.3200000000000003
430,PP_0.40_0.10,$|V|$,30.0
431,PP_0.40_0.10,$|E|$,73.0
432,PP_0.40_0.10,$\hat{k}$,6.0
433,PP_0.40_0.10,$\hat{o}$,0.0
434,PP_0.40_0.10,$\hat{c}$,0.17484126984126988
435,PP_0.40_0.10,\shortstack[l]{normalized \\ cut},0.7084948839032682
436,PP_0.40_0.10,\shortstack[l]{internal \\ edge \\density},0.11666666666666665
437,PP_0.40_0.10,significance,62.102245618237234
438,PP_0.40_0.10,\shortstack[l]{avarage \\ internal \\degree},1.8666666666666665
439,PP_0.40_0.10,\shortstack[l]{modularity \\ density},-1.36
440,PP_0.60_0.10,$|V|$,30.0
441,PP_0.60_0.10,$|E|$,89.0
442,PP_0.60_0.10,$\hat{k}$,6.0
443,PP_0.60_0.10,$\hat{o}$,0.0
444,PP_0.60_0.10,$\hat{c}$,0.248032708032708
445,PP_0.60_0.10,\shortstack[l]{normalized \\ cut},0.689874791502621
446,PP_0.60_0.10,\shortstack[l]{internal \\ edge \\density},0.15
447,PP_0.60_0.10,significance,98.54808618664221
448,PP_0.60_0.10,\shortstack[l]{avarage \\ internal \\degree},2.4
449,PP_0.60_0.10,\shortstack[l]{modularity \\ density},-1.36
450,PP_0.80_0.10,$|V|$,30.0
451,PP_0.80_0.10,$|E|$,101.0
452,PP_0.80_0.10,$\hat{k}$,6.0
453,PP_0.80_0.10,$\hat{o}$,0.0
454,PP_0.80_0.10,$\hat{c}$,0.35946849446849455
455,PP_0.80_0.10,\shortstack[l]{normalized \\ cut},0.6070982601033634
456,PP_0.80_0.10,\shortstack[l]{internal \\ edge \\density},0.19999999999999998
457,PP_0.80_0.10,significance,
458,PP_0.80_0.10,\shortstack[l]{avarage \\ internal \\degree},3.1999999999999997
459,PP_0.80_0.10,\shortstack[l]{modularity \\ density},-0.40000000000000013
460,PP_1.00_0.10,$|V|$,30.0
461,PP_1.00_0.10,$|E|$,118.0
462,PP_1.00_0.10,$\hat{k}$,6.0
463,PP_1.00_0.10,$\hat{o}$,0.0
464,PP_1.00_0.10,$\hat{c}$,0.3773015873015872
465,PP_1.00_0.10,\shortstack[l]{normalized \\ cut},0.5703791891021249
466,PP_1.00_0.10,\shortstack[l]{internal \\ edge \\density},0.25
467,PP_1.00_0.10,significance,
